Transaction,="850",,,,,,,,
Partner,="TRA0090",,,,,,,,
Channel,="THDSSA",,,,,,,,
QAD PO#,="T628395",,,,,,,,
Customer PO#,="17510287",,,,,,,,
PO Date,="05/30/24",,,,,,,,
Due Date,="06/27/24",,,,,,,,
ShipTo Site,="400",,,,,,,,
ShipTo Store,="HD0417",,,,,,,,
ShipTo Name,="The Home Depot # 417",,,,,,,,
ShipTo Addr 1,="4141 S ARIZONA AVE",,,,,,,,
ShipTo Addr 2,=" ",,,,,,,,
ShipTo City,="CHANDLER",,,,,,,,
ShipTo State,="AZ",,,,,,,,
ShipTo Zip,="85248",,,,,,,,
Line#,="1",,,,,,,,
Item,="3A2001FA1DTS5A",,,,,,,,
Qty,="1",,,,,,,,
Description,="Entry Door 44.5 x 99.25 Aluminum Left Op",,,,,,,,
Drawing Size,="1",,,,,,,,
Unit Cost,="907.79",,,,,,,,
NUMBER WIDE,="1",,,,,,,,
TIPTOTIP MEASUREMENT TYPE,="Rough Opening",,,,,,,,
Overall Width,="44.5",,,,,,,,
Overall Height,="99.25",,,,,,,,
Rough Opening Width,="42",,,,,,,,
Rough Opening Height,="98",,,,,,,,
Series,="Premium Security Screen Doors",,,,,,,,
Model Number,="EntryDoor",,,,,,,,
DOOR MATERIAL,="Aluminum",,,,,,,,
Mounting Method,="Surface Mount",,,,,,,,
Operation / Handing,="Left OpenRight Hinge",,,,,,,,
Door Design,="Sunfire",,,,,,,,
Door Color,="Desert Sand",,,,,,,,
Screen Material,="Sun/Pet Screen",,,,,,,,
Screen Color,="Black",,,,,,,,
Secondary Screen Type,="None",,,,,,,,
Secondary Screen Color,="None",,,,,,,,
HandleHeight,="Standard - 39 1/2/",,,,,,,,
Closer,="Yes",,,,,,,,
DoorCloserColor,="Black",,,,,,,,
ONE-WAY DRIVER,="No",,,,,,,,
TOUCH-UP PAINT,="Yes",,,,,,,,
Touch-up Paint Color,="Black",,,,,,,,
Remake?,="No",,,,,,,,
SKUDescription,="S/O UNIQUE PREM ALUMSECURITY DR",,,,,,,,
WG Model,="3A2001FA1DTS5A",,,,,,,,
Line#,="2",,,,,,,,
Item,="HA133-01",,,,,,,,
Qty,="1",,,,,,,,
Description,="Door Closer Med Duty Kit  ",,,,,,,,
Drawing Size,=" ",,,,,,,,
Unit Cost,="9.98",,,,,,,,
Line#,="3",,,,,,,,
Item,="MK401-01",,,,,,,,
Qty,="1",,,,,,,,
Description,="BLACK TOUCH UP PAINT UNIVERSAL PAINT",,,,,,,,
Drawing Size,=" ",,,,,,,,
Unit Cost,="3.63",,,,,,,,
